Asset Combination,Confidence Level,Method,Breach Rate,Expected Breach Rate,Breach Ratio,Kupiec p-value,Christoffersen p-value,Avg Computation Time (s)
"AUDUSD1440, EURUSD1440",95%,Historical Simulation VaR,0.05028512182477968,0.050000000000000044,1.0057024364955927,0.0016048332072312599,0.339730757030304,0.0013555
"AUDUSD1440, EURUSD1440",95%,Parametric (Variance-Covariance) VaR,0.05287713841368585,0.050000000000000044,1.057542768273716,0.001018260489441536,0.05818894278294051,0.0011806
"AUDUSD1440, EURUSD1440",95%,Monte Carlo VaR,0.052358735095904614,0.050000000000000044,1.0471747019180913,0.0011407681497346278,0.24422579621675644,0.107012
"AUDUSD1440, EURUSD1440",95%,Quantum VaR,0.006220839813374806,0.050000000000000044,0.12441679626749601,0,2.3508905989233497e-05,1.7670109
"AUDUSD1440, EURUSD1440",99%,Historical Simulation VaR,0.01503369621565578,0.010000000000000009,1.5033696215655767,0.027494359689854586,0.008523060394466375,0.0002206
"AUDUSD1440, EURUSD1440",99%,Parametric (Variance-Covariance) VaR,0.019699326075686883,0.010000000000000009,1.9699326075686865,0.00010438543667579125,0.04277083354508915,0.0002068
"AUDUSD1440, EURUSD1440",99%,Monte Carlo VaR,0.011404872991187144,0.010000000000000009,1.1404872991187134,0.3680877832645194,0.0014691823677096538,0.039258
"AUDUSD1440, EURUSD1440",99%,Quantum VaR,0.006220839813374806,0.010000000000000009,0.62208398133748,0.06299680620962977,2.3508905989233497e-05,1.4261412
"AUDUSD1440, GBPUSD1440",95%,Historical Simulation VaR,0.05287713841368585,0.050000000000000044,1.057542768273716,0.001018260489441536,0.2658890421253578,0.0001508
"AUDUSD1440, GBPUSD1440",95%,Parametric (Variance-Covariance) VaR,0.05598755832037325,0.050000000000000044,1.119751166407464,0.0004106056614200382,0.6888946083929308,0.0001777
"AUDUSD1440, GBPUSD1440",95%,Monte Carlo VaR,0.054950751684810784,0.050000000000000044,1.0990150336962148,0.0005797567464860265,0.19399216280323894,0.039901
"AUDUSD1440, GBPUSD1440",95%,Quantum VaR,0.00673924313115604,0.050000000000000044,0.13478486262312067,0,4.6512853590918724e-07,2.3619593
"AUDUSD1440, GBPUSD1440",99%,Historical Simulation VaR,0.01503369621565578,0.010000000000000009,1.5033696215655767,0.027494359689854586,0.076425156783545,0.0003138
"AUDUSD1440, GBPUSD1440",99%,Parametric (Variance-Covariance) VaR,0.01866251944012442,0.010000000000000009,1.86625194401244,0.0004354991161775734,0.03130923938210617,0.0001831
"AUDUSD1440, GBPUSD1440",99%,Monte Carlo VaR,0.011404872991187144,0.010000000000000009,1.1404872991187134,0.3680877832645194,0.02400808743004057,0.041694
"AUDUSD1440, GBPUSD1440",99%,Quantum VaR,0.00673924313115604,0.010000000000000009,0.6739243131156034,0.10676739770635302,4.6512853590918724e-07,1.8215242
"AUDUSD1440, USDJPY1440",95%,Historical Simulation VaR,0.049766718506998445,0.050000000000000044,0.9953343701399681,0.0016978322306498983,0.06692857983909462,0.0002273
"AUDUSD1440, USDJPY1440",95%,Parametric (Variance-Covariance) VaR,0.06013478486262312,0.050000000000000044,1.2026956972524614,6.934863673890845e-05,0.011393083358073541,0.0002535
"AUDUSD1440, USDJPY1440",95%,Monte Carlo VaR,0.05184033177812338,0.050000000000000044,1.0368066355624668,0.001263823438226952,0.006051018191396307,0.03697
"AUDUSD1440, USDJPY1440",95%,Quantum VaR,0.005702436495593572,0.050000000000000044,0.11404872991187134,0,0.7223632555407346,1.146208
"AUDUSD1440, USDJPY1440",99%,Historical Simulation VaR,0.011404872991187144,0.010000000000000009,1.1404872991187134,0.3680877832645194,0.4760575260025154,0.0001926
"AUDUSD1440, USDJPY1440",99%,Parametric (Variance-Covariance) VaR,0.021254536029030584,0.010000000000000009,2.1254536029030566,1.0172978279210376e-05,0.8909633404311091,0.0002629
"AUDUSD1440, USDJPY1440",99%,Monte Carlo VaR,0.014515292897874546,0.010000000000000009,1.4515292897874534,0.044192412235736556,0.36363713895968774,0.03697
